,name,energy,smiles,from_EQ,from_EQ_smiles,to_EQ,to_EQ_smiles,H_moved
0,EQ21,-131.912898813616,[H]N=C([H])=C,,,,,
1,EQ22,-131.917586031265,[H]N=C([H])=C,,,,,
2,EQ7,-131.95120704681,[H]C1#C([H])N1,,,,,
3,EQ39,-131.838609511223,[H]C=N([H])=C,,,,,
4,EQ55,-131.841716212891,[H]C=N([H])=C,,,,,
5,EQ0,-132.055704962587,[H]C([H])=C#N,,,,,
6,EQ5,-131.918622875596,[H]C=C([H])=N,,,,,
7,EQ3,-132.000932801322,[H]C#C=N[H],,,,,
8,EQ26,-131.866173616565,[H]C=N([H])=C,,,,,
9,EQ56,-131.779583727543,[HH].[H]N1=CC=1,,,,,
10,EQ13,-131.953617319376,[H]C#N#C[H],,,,,
11,EQ29,-131.865636673595,[H]CN([H])=C,,,,,
12,EQ58,-131.861200510616,[H]C=N([H])=C,,,,,
13,EQ16,-131.875340565355,[H]C1([H])CN1,,,,,
14,EQ27,-131.957122917712,[H]N([H])=C#C,,,,,
15,EQ9,-131.906008168415,[H]C=C([H])=N,,,,,
16,EQ33,-131.859642629426,[H]C=N=C[H],,,,,
17,EQ18,-131.815341251625,[H]C([H])(C)N,,,,,
18,EQ11,-131.926749544801,[H]C=C([H])=N,,,,,
19,EQ2,-132.015783229725,[H]C([H])=N#C,,,,,
20,EQ35,-131.851312421771,[H]C.[H]N#C,,,,,
21,EQ20,-131.909513131063,[H]C1=CN=1[H],,,,,
22,TS0,-131.943386984554,[H]C([H])N#C,EQ0,[H]C([H])=C#N,EQ2,[H]C([H])=N#C,0.0
23,TS1,-131.895145575292,[HH].[H]C=C#N,EQ5,[H]C=C([H])=N,EQ0,[H]C([H])=C#N,1.0
24,TS2,-131.835389435759,[HH].[H]C1=CN=1,EQ7,[H]C1#C([H])N1,EQ0,[H]C([H])=C#N,1.0
25,TS3,-131.913664048373,[H]C=C([H])=N,EQ5,[H]C=C([H])=N,EQ7,[H]C1#C([H])N1,0.0
26,TS5,-131.913394071105,[H]C=C([H])=N,EQ11,[H]C=C([H])=N,EQ5,[H]C=C([H])=N,2.0
27,TS7,-131.902952441535,[H]C=C([H])=N,EQ7,[H]C1#C([H])N1,EQ5,[H]C=C([H])=N,0.0
28,TS8,-131.883174181024,[H]C=C([H])=N,EQ5,[H]C=C([H])=N,EQ3,[H]C#C=N[H],2.0
29,TS10,-131.886967994218,[HH].[H]C#C=N,EQ5,[H]C=C([H])=N,EQ3,[H]C#C=N[H],2.0
30,TS11,-131.791750872755,[HH].[H]C(C)=N,EQ18,[H]C([H])(C)N,EQ5,[H]C=C([H])=N,1.0
31,TS13,-131.841267251168,[HH].[H]C=C=N,EQ0,[H]C([H])=C#N,EQ20,[H]C1=CN=1[H],1.0
32,TS14,-131.82965677562,[HH].[H]CC#N,EQ3,[H]C#C=N[H],EQ0,[H]C([H])=C#N,1.0
33,TS15,-131.91123059913,[H]N=C([H])=C,EQ22,[H]N=C([H])=C,EQ3,[H]C#C=N[H],1.0
34,TS16,-131.862234885177,[HH].[H]C=N=C,EQ7,[H]C1#C([H])N1,EQ2,[H]C([H])=N#C,1.0
35,TS17,-131.88267286107,[H]C#CN[H],EQ20,[H]C1=CN=1[H],EQ3,[H]C#C=N[H],2.0
36,TS19,-131.906192454251,[H]N=C([H])=C,EQ21,[H]N=C([H])=C,EQ20,[H]C1=CN=1[H],0.0
37,TS20,-131.852310398873,[H]CC#N[H],EQ3,[H]C#C=N[H],EQ20,[H]C1=CN=1[H],2.0
38,TS23,-131.889814754207,[H]N=C([H])=C,EQ22,[H]N=C([H])=C,EQ21,[H]N=C([H])=C,2.0
39,TS24,-131.838447159646,[HH].[H]N=C#C,EQ3,[H]C#C=N[H],EQ27,[H]N([H])=C#C,1.0
40,TS25,-131.825227876728,[H]CN([H])#C,EQ2,[H]C([H])=N#C,EQ20,[H]C1=CN=1[H],1.0
41,TS26,-131.863123628754,[H]CN([H])=C,EQ26,[H]C=N([H])=C,EQ20,[H]C1=CN=1[H],0.0
42,TS27,-131.867397659763,[H]C=N=C[H],EQ13,[H]C#N#C[H],EQ7,[H]C1#C([H])N1,2.0
43,TS28,-131.870849208514,[H]C.[H]C#N,EQ7,[H]C1#C([H])N1,EQ13,[H]C#N#C[H],2.0
44,TS32,-131.859544140171,[H]C=N=C[H],EQ7,[H]C1#C([H])N1,EQ13,[H]C#N#C[H],2.0
45,TS34,-131.834619417639,[H]C.[H]N#C,EQ20,[H]C1=CN=1[H],EQ3,[H]C#C=N[H],2.0
46,TS35,-131.853396774693,C=C.[H]N[H],EQ27,[H]N([H])=C#C,EQ27,[H]N([H])=C#C,0.0
47,TS36,-131.812489890076,[HH].[H]N=CC,EQ20,[H]C1=CN=1[H],EQ27,[H]N([H])=C#C,1.0
48,TS37,-131.838555074686,[H]C=N([H])=C,EQ13,[H]C#N#C[H],EQ39,[H]C=N([H])=C,1.0
49,TS38,-131.894040918352,[HH].[H]C(=C)=N,EQ7,[H]C1#C([H])N1,EQ22,[H]N=C([H])=C,1.0
50,TS39,-131.86481114302,[H]C#NC[H],EQ13,[H]C#N#C[H],EQ7,[H]C1#C([H])N1,2.0
51,TS41,-131.804221281027,[HH].[H]NC=C,EQ3,[H]C#C=N[H],EQ27,[H]N([H])=C#C,1.0
52,TS42,-131.873725633251,[H]C#CN[H],EQ3,[H]C#C=N[H],EQ20,[H]C1=CN=1[H],2.0
53,TS44,-131.829366275521,[H]C=N([H])=C,EQ13,[H]C#N#C[H],EQ29,[H]CN([H])=C,1.0
54,TS45,-131.801874300927,[HH].[H]N=C=C,EQ3,[H]C#C=N[H],EQ27,[H]N([H])=C#C,1.0
55,TS46,-131.981672337808,[H]C#C#N[H],EQ3,[H]C#C=N[H],EQ3,[H]C#C=N[H],0.0
56,TS47,-131.845207713278,[H]C.[H]N#C,EQ29,[H]CN([H])=C,EQ3,[H]C#C=N[H],0.0
57,TS49,-131.900017356031,[H]N=C([H])=C,EQ22,[H]N=C([H])=C,EQ20,[H]C1=CN=1[H],2.0
58,TS50,-131.926738167018,[H]C=C([H])=N,EQ11,[H]C=C([H])=N,EQ7,[H]C1#C([H])N1,2.0
59,TS51,-131.950095097494,[H]C#N#C[H],EQ13,[H]C#N#C[H],EQ13,[H]C#N#C[H],0.0
60,TS52,-131.952324639017,[H]C#N#C[H],EQ13,[H]C#N#C[H],EQ13,[H]C#N#C[H],0.0
61,TS54,-131.950532246145,[H]C#N#C[H],EQ13,[H]C#N#C[H],EQ13,[H]C#N#C[H],0.0
