,name,energy,smiles,from_EQ,from_EQ_smiles,to_EQ,to_EQ_smiles,H_moved
56,TS0,-155.020674604392,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
57,TS1,-154.888762300714,[H]C([H])=O=C([H])[H].[H][H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ2,[H]C([H])=O=C([H])[H].[H][H],0.0
58,TS2,-154.876507492133,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
59,TS3,-154.862263098735,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],0.0
60,TS4,-154.891280616284,[H]C([H])([H])O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ8,[H]C([H])([H])O.[H]C([H])[H],0.0
61,TS5,-154.877099234321,[H]C=OC([H])([H])[H].[H][H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ10,[H]C=OC([H])([H])[H].[H][H],0.0
62,TS6,-154.890013585443,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
63,TS7,-154.818627850393,[HH].[H]C=O.[H]C[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
64,TS8,-154.879193230227,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
65,TS9,-154.862290735371,[HH].[H]C([H])OC([H])([H])[H],EQ14,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
66,TS10,-154.852293036555,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],0.0
67,TS11,-154.874602912128,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],0.0
68,TS12,-154.803785875962,[HH].[HH].[H]C([H])OC([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ15,[HH].[H]C([H])OC([H])([H])[H],0.0
69,TS13,-154.862272749312,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
70,TS14,-154.891027103231,[H]C([H])([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],0.0
71,TS15,-154.889629194287,[H]C([H])([H])O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
72,TS16,-154.89098362951,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],0.0
73,TS17,-154.821740906346,[H]C([H])[H].[H]C=O.[H][H],EQ18,[H]C(=O)C([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],0.0
74,TS18,-154.890288209999,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],0.0
75,TS19,-154.877045146967,[H]C([H])[H].[H]C=O.[H][H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ17,[H]C(=O)C([H])([H])[H].[H][H],0.0
76,TS21,-154.855825783547,[H]COC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],0.0
